Formula, something, somethingelse,Formula_mono_iso_wt_nat
C31H24O12,13,15,619.2307762
C6H6O7S,13,15,228.0035523
C42H59N3O10,13,15,810.552053
C57H94O27,13,15,1267.789474
C17H24N2O4S,13,15,371.19678
C9H18O2,13,15,167.1608734
C10H17N3O5,13,15,272.1414737
C30H47N3O9S,13,15,658.3950506
C18H24O4S,13,15,354.199917
C11H15NO2,13,15,205.1442168
C11H15NO3,13,15,221.1391315
C9H18O8,13,15,263.1303611
C34H46O18,13,15,776.3824792
C44H80NO8P,13,15,826.7068028
C8H21N3,13,15,170.1914911
C11H15NO8,13,15,301.1137046
C19H27NO3,13,15,337.2598706
C19H27NO4,13,15,353.2547852
C8H18N4O2,13,15,214.1579541
C21H32N2O,13,15,351.315985
C19H27NO6,13,15,385.2446144
C19H27NO7,13,15,401.239529
C33H34N4O6,13,15,619.3466841
C7H10N2O,13,15,147.0968666
C4H8O8P-,13,15,219.0096467
C3H5O3S-,13,15,124.0065528
C8H4O3S2,13,15,219.9870241
C14H11ClN4O,13,15,304.097246
C23H30ClNO3,13,15,427.2656177
C3H11N3O6PS+,13,15,254.0112379
C8H9BO3,13,15,172.0913134
C13H9NO2,13,15,225.1039763
C20H20O4,13,15,344.2032559
C13H9NO3,13,15,241.0988909
C20H20O5,13,15,360.1981705
C13H9NO4,13,15,257.0938056
C20H20O6,13,15,376.1930851
C20H20O7,13,15,392.1879998
C15H14O,13,15,225.1547876
C2H5N3O2,13,15,108.0359908
C18H24O5S,13,15,370.1948317
C12H15N4O2S+,13,15,295.1194205
C48H82O18,13,15,994.711148
C13H21N5O,13,15,281.2033977
C8H5Cl3O3,13,15,261.9572659
C27H21N3O10,13,15,577.2043792
C10H18N4S,13,15,240.1469052
C33H47NO13,13,15,699.4124851
C12H19N4O10P3S,13,15,520.0318707
C33H45NO9,13,15,633.4171766
C28H48N8O17P3S,13,15,929.277312
C15H24N2O16P2,13,15,567.1044981
C23H28ClN3O5S,13,15,519.2120854
C22H27N9O7S2,13,15,624.1946061
C16H24N4O10P2S,13,15,546.1106537
C33H37N5O5,13,15,621.3753534
C10Cl12,13,15,549.6597809
C24H40N5O8,13,15,555.3533789
C5H12O8P2,13,15,267.0175146
C12H7Cl3,13,15,268.0015914
C17H24O2,13,15,277.2346623
C24H31O8-,13,15,471.2829577
C17H24O3,13,15,293.2295769
C17H14F3N3O2S,13,15,401.1240189
C17H24O4,13,15,309.2244915
C21H20NO4+,13,15,372.206171
C17H24O5,13,15,325.2194061
C17H24O6,13,15,341.2143207
C7H15O10P,13,15,297.0637671
C17H24O9,13,15,389.1990646
C30H24O6,13,15,510.2579336
C7H5NS2,13,15,175.0068593
C25H34O10,13,15,519.2990683
C14H20ClNO2,13,15,284.1622592
C33H46O7,13,15,587.4350635
C3H10N3O3S+,13,15,174.0449075
C18H24O,13,15,274.2431025
C25H34O11,13,15,535.2939829
C30H24O9,13,15,558.2426775
C33H46O8,13,15,603.4299781
C25H34O13,13,15,567.2838121
C33H46O9,13,15,619.4248927
C25H34O14,13,15,583.2787267
C35H60N2O4+2,13,15,609.5657004
C12H17N2O4P,13,15,298.1269214
C44H54N4O16,13,15,942.4892341
C12H20N2O,13,15,222.1918911
CH3O5P,13,15,126.9751646
C13H19NO2,13,15,235.1822266
C20H21N7O7,13,15,498.1965871
C13H19NO3,13,15,251.1771413
C15H16O,13,15,227.1704377
C13H8F2O3,13,15,263.0877634
C56H78N4O6,13,15,962.7681467
C24H31N7O6,13,15,544.2933421
C3H4Cl2F2O,13,15,166.9707911
C6H10N3O4P,13,15,228.052126
C36H49N5O8S,13,15,752.4361329
C24H31O9-,13,15,487.2778723
C62H114N2O23,13,15,1318.983308
C8H14N2O5S,13,15,260.0832507
C7H19N3,13,15,155.1724862
C14H16N2O2,13,15,260.1622153
C25H21N3O2,13,15,423.2383526
C14H16N2O3,13,15,276.1571299
C16H16N2O3S,13,15,334.1359103
C35H32MgN4O5,13,15,651.327871
C14H16N2O6,13,15,324.1418738
C22H18N2O4,13,15,398.1945333
C14H16N2O7,13,15,340.1367884
C14H16N2O8,13,15,356.131703
C27H28O5,13,15,459.2842546
C18H26N2O4,13,15,354.2437142
C6H12F2N2O2,13,15,190.1008829
C18H20N2,13,15,284.2171055
C27H28O6,13,15,475.2791693
C58H84CoN16O11+,13,15,1313.730338
C22H18N2O9,13,15,478.1691064
C24H33NO4,13,15,424.3185096
C26H28N2O5,13,15,476.2811176
C19H22KN3O4S,13,15,449.1516554
C32H57N5O9,13,15,692.5081577
C14H33N10O7PS,13,15,540.2165173
C10H10N2,13,15,170.1120165
C22H29N3S2,13,15,424.2452004
C20H24N8O6,13,15,500.2252564
C35H44N4O16,13,15,815.3807903
C3H9NO,13,15,79.07551332
C10H13N3O5S,13,15,300.0822443
C14H10MgO6,13,15,312.0797477
C10H14N5O10PS,13,15,442.0386217
C6H14FO3P,13,15,190.0865881
C18H20O2,13,15,286.206717
C19H25ClN2,13,15,337.2284382
C18H33ClN2O5S,13,15,444.2343274
C18H20O3,13,15,302.2016316
C16H22O10,13,15,390.1749743
C16H22O11,13,15,406.169889
C18H20O4,13,15,318.1965462
C7H5NO3S,13,15,191.0195325
C18H20O5,13,15,334.1914608
C12H8N4O5,13,15,304.077867
C7H11Cl2N3,13,15,217.0475913
C24H16O10,13,15,488.1548628
C11H19N3O6S,13,15,335.1274639
C24H16O11,13,15,504.1497775
